country_uuid,country,last_update
01d9d087-05a3-45f6-bd26-d9e456ef4996,Kenya,"2024-08-25 13:39:33"
028135a0-1661-4824-9468-3e0f85d333c6,"United Arab Emirates","2024-08-25 13:39:33"
0343f1ce-0e4c-493f-a909-61717f1f220a,Tunisia,"2024-08-25 13:39:33"
0ad59534-ada4-434a-80b3-395590b0eb62,Iraq,"2024-08-25 13:39:33"
0ae2eb2f-b60c-431c-9afd-55acb2bf8e51,Pakistan,"2024-08-25 13:39:33"
0b780ee7-0d0a-4f65-8458-fb65a89a50f6,"French Guiana","2024-08-25 13:39:33"
0fc4e1f1-38d8-4ef0-b482-3fb2bc98c232,Tanzania,"2024-08-25 13:39:33"
131bcde4-9751-41fb-8000-f494498de0ed,"French Polynesia","2024-08-25 13:39:33"
146798e4-e99e-41de-9eeb-c9d06e5b7f6c,Poland,"2024-08-25 13:39:33"
1583d347-e031-4183-8a29-deba9f2db81e,"Saudi Arabia","2024-08-25 13:39:33"
22a52e6e-2eeb-4e4a-9452-e2e5f109bec7,Angola,"2024-08-25 13:39:33"
2a80c702-dc97-4267-b2ce-8927172da2d2,Ukraine,"2024-08-25 13:39:33"
2c5bc389-6939-4e3c-925c-971c4bb68407,Nepal,"2024-08-25 13:39:33"
2dd3cb66-fa2e-4a18-a8fb-afe01d5fc486,Nauru,"2024-08-25 13:39:33"
2edc55b4-d996-47e5-a142-d7dce6caad35,Anguilla,"2024-08-25 13:39:33"
2ef847f9-8206-4609-9c82-6109903e664f,Armenia,"2024-08-25 13:39:33"
31004baf-dfc6-403d-b7a5-0c7b18814a85,Malawi,"2024-08-25 13:39:33"
327000cf-6b1b-499d-9f78-5b22d70c5ac5,Sudan,"2024-08-25 13:39:33"
32e63048-73ac-4c62-93c2-844bdf99e9c6,Bahrain,"2024-08-25 13:39:33"
3a5751c1-5e91-4350-8741-6c266b3364fb,Cameroon,"2024-08-25 13:39:33"
3a7c50c0-f879-4c1f-8ed9-223aef1be091,Yemen,"2024-08-25 13:39:33"
4014d078-e6bc-43c6-8d3a-2a96853dc6c3,"South Africa","2024-08-25 13:39:33"
402fcd7f-0003-4b03-884e-37cc96a3e260,Zambia,"2024-08-25 13:39:33"
40c3557f-c798-4d21-b7d5-537e96f4e3f9,Ethiopia,"2024-08-25 13:39:33"
421151ec-2990-4e00-8c1c-211bb20d0e5c,Turkey,"2024-08-25 13:39:33"
45014403-f93e-45e2-8f08-4786c664a40f,Mozambique,"2024-08-25 13:39:33"
45d7d300-2c18-48bd-8aa6-1d0437422b7f,Senegal,"2024-08-25 13:39:33"
4863649f-cb3e-4ac3-926a-427c5a2941ee,"Russian Federation","2024-08-25 13:39:33"
4922baa0-a01f-46b5-ae97-2afadd96dc7b,"American Samoa","2024-08-25 13:39:33"
4936e868-57f5-47fd-bb07-177fc5b4d2f8,"New Zealand","2024-08-25 13:39:33"
4c680ffb-b7e6-4cf2-afc5-57d8c2ebd4cc,Japan,"2024-08-25 13:39:33"
4dfffaba-d825-4843-8c62-8890d50448f1,Bangladesh,"2024-08-25 13:39:33"
4e30cafb-1048-4b15-a24b-a92252493c9c,Greece,"2024-08-25 13:39:33"
50bc502c-7d41-44ac-94bf-d3f47916d6b9,Yugoslavia,"2024-08-25 13:39:33"
577b397e-0f32-40e1-9630-450e1c5022e7,"Dominican Republic","2024-08-25 13:39:33"
588bf563-4c4d-4079-8906-bedba1f13599,Switzerland,"2024-08-25 13:39:33"
5acf0074-41ec-4a5a-b2d3-0ebed9f147ff,Kazakstan,"2024-08-25 13:39:33"
5be2f926-1bc6-4e6a-b135-7e7965ff09f9,Paraguay,"2024-08-25 13:39:33"
